"","SLY_SPI","SLY_SHA","SLY_SPE","SPI_SHA","SPI_SPE","SHA_SPE"
"Solyc11g011080.1.1",0.0914373658218533,0.179446121977148,7.25143385786489e-05,0.00960192409874156,2.27259184353052e-05,0.00451343343232302
"Solyc06g054240.2.1",1,0.0529114081924999,0.142685524369579,1,0.0482982932787653,0.00289955869826889
"Solyc09g018370.2.1",0.146471627836076,0.0780092250950715,0.00343897274926724,1,0.00146020957565665,0.000191344979886426
"Solyc01g006560.2.1",0.0231833842346300,1,1,0.0146155467441336,0.0078533610354051,1
"Solyc10g005430.2.1",1,1,1.12658076929149e-05,1,1.12658076929149e-05,1.12658076929149e-05
"Solyc02g087340.2.1",0.157280647886616,0.028847212009709,1,1,0.115471779287711,0.0269197711577138
"Solyc10g045620.1.1",0.00248956056840912,5.00298022093648e-05,0.00141799373230379,0.0186275811415628,1,0.544941359507178
"Solyc02g080580.1.1",1,1,0.0153302864147504,1,0.108893938374415,0.00134654906331563
"Solyc03g117790.1.1",1,0.00462877770021929,1,0.000351991559337561,1,0.0181569186512854
"Solyc10g075070.1.1",2.67862508506713e-05,0.00658629400934097,0.161386200707586,1,0.0185399658214086,0.0285523368373731
"Solyc07g042830.2.1",0.0115753563068657,0.226282371730575,1,0.000275744380016162,0.84525897441502,0.0238421598071911
"Solyc09g059260.2.1",1,0.00251556731702117,0.432008261304191,0.0199285948205427,1,0.0876824579617162
"Solyc08g079770.2.1",0.0560210242096943,0.174397593730181,0.161715917645493,0.00013444293195759,0.00322420826177799,1
"Solyc06g084580.1.1",1,1,0.0150670735285219,0.827417876982704,0.00270746421102231,0.0424507282489702
"Solyc01g096500.2.1",1,0.00267944201503808,1,0.00255112678689319,1,0.0210378134059217
"Solyc11g007710.1.1",1,1,0.00506646809846235,1,0.00112783123555844,0.00244347361411683
"Solyc03g034400.2.1",1,1,1.77708163525930e-05,1,4.29417475581929e-06,1.0789186377924e-05
"Solyc12g010550.1.1",0.00628312878030166,0.00297493703969051,0.0726512636169015,4.26061047372341e-05,1,0.000385248171351732
"Solyc09g005100.2.1",0.00554521706551308,0.000269456044683578,1.34484350522940e-05,0.0545522200819366,0.000428618341156192,0.176106263552856
"Solyc03g116100.2.1",1,1,0.0422359751320381,1,0.0258538390537457,0.0672873694276378
"Solyc06g064830.2.1",0.0211747258143326,0.0152582994611248,1,1,0.0157100796979248,0.0115553061579251
"Solyc05g054210.2.1",0.0206010804865594,0.0156023489980820,1,1,0.150448314022615,0.105005081169873
"Solyc09g010320.2.1",1,0.00532521025723976,0.000520440768295476,0.0489877860894588,0.00653617255905545,1
"Solyc07g066430.2.1",1,0.100912318870234,1.72307210329475e-05,0.0322912315928751,1.04554152116986e-05,5.06804971224885e-05
"Solyc06g068060.2.1",1,0.116625581076217,1,0.043725001822192,1,0.0123573464736391
"Solyc06g075580.2.1",1,1,0.000113066352071685,1,0.00216773362520104,0.00159969004470781
"Solyc07g063900.2.1",0.0119770898218415,0.00204802838890903,0.00238944598850227,1,0.156020870179193,0.879733371645186
"Solyc04g007820.2.1",1,0.00110212288289556,0.0145356409610894,0.00222233526017099,0.0246873217786706,0.0177458524083906
"Solyc08g006910.2.1",1,1,3.17991642874767e-05,1,5.9471603475244e-06,8.42908520218986e-07
"Solyc12g036800.1.1",1,1,0.000142070660481822,1,0.000142070660481822,0.0523080705409905
"Solyc04g081130.1.1",0.000110932159881916,1.25478919949117e-05,2.31106079731117e-07,0.00905775822241522,0.000109392108724217,1
"Solyc01g100180.2.1",1,1,0.0336915756941913,1,0.00324644155573565,0.00439918858148375
"Solyc01g095620.2.1",0.000234979432549458,1.77708163525930e-05,0.000119461337209329,0.193017024795560,0.701140260820599,1
"Solyc11g044270.1.1",1,0.968090552688065,0.00162359005802546,1,0.000801982473823652,0.0756346353808172
"Solyc07g055060.2.1",0.112170466981706,1,6.55484555261816e-05,1,0.000112744850601479,0.000386719806273131
"Solyc09g065730.2.1",0.206880087210093,0.0457778259071557,1,0.387177198371226,0.00493184221164403,0.0086043429702988
"Solyc02g069380.2.1",1,1,0.0116339026934168,1,0.00456346015235892,0.00143892772371685
"Solyc11g068420.1.1",0.00361920905258703,0.00515968065291217,1,1,0.00541067125743342,0.00783399673560845
"Solyc07g043060.1.1",1,0.000855882670986421,1,0.000855882670986421,1,0.000855882670986421
"Solyc04g078340.2.1",1,1,8.4799167041448e-05,1,7.50238296197032e-05,8.21854273751728e-05
"Solyc01g091950.2.1",1,1,0.000416524164729344,0.55604410143385,2.93695484108371e-05,0.00435734389789315
"Solyc03g118970.2.1",0.413588095984697,0.00151905450526094,0.256737481073343,0.0301040507672649,0.0168672546530992,0.00061723360442344
"Solyc03g120980.2.1",3.86930227048455e-06,5.11467768568655e-08,3.49367577074541e-08,0.000523873046563741,0.00051245200246515,1
"Solyc10g008680.1.1",0.00737876712706371,4.9076041520951e-05,0.000646906042349042,0.0338491180824868,0.632898420972335,1
"Solyc12g042960.1.1",0.000109392108724217,0.560440536595438,0.158705875102326,0.0692411066605281,1,1
"Solyc02g086170.2.1",1,1,5.40641084017746e-05,1,0.000195776095206472,0.00106165566065648
"Solyc01g097360.2.1",1,1,0.0269552823199103,1,0.0982741129841087,0.0233357457483981
"Solyc07g025160.2.1",0.131310344491131,0.0132016218130613,1,0.000797836987747465,0.239806319553326,0.015792191013002
"Solyc07g018180.1.1",1,1,0.000123943549502502,1,2.08564822930333e-05,7.56412217224524e-05
"Solyc08g042050.2.1",0.00942393665142451,1,0.00847337374430876,0.600951307463106,0.000159978743743213,0.00433678519221896
"Solyc12g005190.1.1",0.0327256240077648,1,1,0.0344280148059694,0.054608169193138,1
"Solyc04g076820.1.1",0.198356635389088,0.206203656903235,0.103757428314327,1,0.0108848971588975,0.0114467173106899
"Solyc03g119540.2.1",1,0.00375644188821308,0.0277017040996776,0.0107028265175595,0.116925137989642,1
