"","SLY","SPI","SHA","SPE"
"Solyc12g019970.1.1",4.85714285714285,5,5,7.57142857142857
"Solyc08g045850.2.1",45.4285714285714,41.8571428571428,70.5714285714285,39.7142857142857
"Solyc11g065610.1.1",5,3.57142857142857,5.28571428571429,6.42857142857143
"Solyc01g096670.2.1",141.285714285722,113.714285714287,85.2857142857196,99.428571428581
"Solyc02g085390.2.1",46.1428571428569,45.5714285714284,52.8571428571427,28.7142857142857
"Solyc06g069550.1.1",1.57142857142885,1.85714285714286,1.71428571470033,0.714285724605972
"Solyc01g065560.2.1",15.7142857142857,16.0000000000000,16.2857142857148,11.857142857143
"Solyc09g075650.2.1",1.42857142857156,1.28571428574408,2.28571428571429,2.14285714285714
"Solyc07g043580.2.1",227.428571428572,139,233,158.571428571429
"Solyc03g034000.2.1",28.8571428571429,24.2857142857143,22.5714285714286,39.7142857142933
"Solyc01g104220.2.1",28,35.2857142857143,23.2857142857150,49.0000000000003
"Solyc05g056060.2.1",38.7142857142984,40.5714285714798,77.4285714300815,40.5714285714287
"Solyc09g009790.2.1",2.00000000000115,5.14285714285715,3.71428571428572,2.57142857142857
"Solyc05g053740.2.1",5.85714285714287,6.71428571428571,6.14285714296893,5.14285714305031
"Solyc03g113980.2.1",2.42857142857302,3,2.85714285714286,6.28571428571429
"Solyc01g108280.2.1",123.571428571429,93.2857142857144,152.714285714286,184.000000000021
"Solyc01g067700.2.1",1.71428571646975,2.42857142857143,2.71428571428572,3.14285715288397
"Solyc07g047800.2.1",95.5714285714288,82.857142857143,73.5714285714288,239.285714285715
"Solyc06g072340.2.1",157.000000000000,148.142857142857,122.714285714286,93.2857142857144
"Solyc11g007820.1.1",1.28571428571429,1.71428571428571,1.52299797445693e-09,1.52299797446430e-09
"Solyc06g068620.2.1",4.57142857143549,6.42857142857143,8,36
"Solyc01g108430.2.1",11.8571428571462,10.7142857142859,21.5714285714286,21.8571428571429
"Solyc01g112220.2.1",4.71428571428572,4.57142857142857,5.85714285714286,29.5714285714286
"Solyc10g047170.1.1",1.28571428571432,0.714285715918371,1.42857142861922,11.8571428571428
"Solyc09g010630.2.1",8044.71428571424,8508.14285714283,8371.14285714287,7853.14285714514
"Solyc05g053850.2.1",53.2857142857142,85.2857142857143,98.7142857142858,92.1428571437828
"Solyc04g050240.2.1",30.4285714285799,33,27.7142857142858,32.7142857142861
"Solyc01g096340.2.1",16.0000000000014,17.4285714285716,21.1428571428571,39.1428571428674
"Solyc10g007460.2.1",6.42857142858984,7.14285714285714,7.00000000000808,6.42857142867474
