"","spe"
"Solyc10g005250.2.1",0.0791301212886682
"Solyc06g065940.2.1",1
"Solyc06g072960.1.1",0.086873049313142
"Solyc12g014630.1.1",1
"Solyc10g080490.1.1",0.28661670113104
"Solyc03g006140.2.1",0.140943461734071
"Solyc10g081080.1.1",1
"Solyc05g054950.2.1",1
"Solyc08g081610.2.1",1
"Solyc07g045460.2.1",0.00282652903699534
"Solyc02g090100.1.1",0.38629186003518
"Solyc04g064680.2.1",0.284063153810408
"Solyc12g011340.1.1",2.64430816304044e-05
"Solyc01g068410.2.1",0.0110764245794777
"Solyc06g060300.1.1",1
"Solyc04g054490.2.1",5.94578345784534e-05
"Solyc04g016390.1.1",1
"Solyc01g087180.2.1",0.0392522041125508
"Solyc01g099450.2.1",1
"Solyc11g007390.1.1",0.106524718915843
"Solyc11g062350.1.1",0.0067814976405797
"Solyc02g081650.2.1",1
"Solyc01g008820.2.1",0.536069722170525
"Solyc06g063300.2.1",0.0540963253601014
"Solyc09g055870.2.1",0.117637451236965
"Solyc10g083190.1.1",0.546449864637824
"Solyc11g011080.1.1",7.33645517786858e-09
"Solyc05g050900.2.1",1
"Solyc06g054240.2.1",0.00092164701845831
"Solyc07g041200.2.1",0.163377291054672
"Solyc06g065200.2.1",1
"Solyc12g011180.1.1",1
"Solyc09g018370.2.1",2.30863811311426e-05
"Solyc05g006100.2.1",1
"Solyc10g006970.2.1",0.453143881158886
"Solyc03g079850.2.1",0.0205759931913137
"Solyc01g006560.2.1",0.000144556536690202
"Solyc09g091100.2.1",0.80706830513755
"Solyc03g007280.2.1",1
"Solyc03g113550.2.1",1
"Solyc10g005430.2.1",7.60299240229727e-14
"Solyc09g009970.2.1",1
"Solyc02g087340.2.1",0.00407247660319223
"Solyc10g045620.1.1",7.50196040456862e-07
"Solyc03g119610.1.1",0.0121053410421734
"Solyc05g052150.2.1",0.396661626121182
"Solyc02g080580.1.1",0.00255567006234577
"Solyc03g117790.1.1",0.000576477984035755
"Solyc04g054730.2.1",0.112427526436757
"Solyc01g005120.2.1",1
"Solyc10g075070.1.1",6.28975504993494e-05
"Solyc08g006680.2.1",0.973762641392924
"Solyc06g065320.2.1",0.0959759647977176
"Solyc02g094450.2.1",0.279827229782232
"Solyc10g006010.2.1",1
"Solyc01g095510.2.1",0.471483651609213
"Solyc07g042830.2.1",0.000113131913912928
"Solyc07g063700.1.1",1
"Solyc09g059260.2.1",0.00933804854194508
"Solyc08g079770.2.1",0.000141719928082358
"Solyc05g041920.2.1",1
"Solyc03g007510.2.1",1
"Solyc06g084580.1.1",0.00129643678418304
"Solyc01g096500.2.1",0.0011595874622528
"Solyc11g007710.1.1",0.000626258100562872
"Solyc03g034400.2.1",1.15123430738926e-08
"Solyc12g010550.1.1",1.06338196023150e-06
"Solyc09g018780.2.1",1
"Solyc09g005100.2.1",1.83590812274137e-08
"Solyc04g055000.2.1",0.0532613716014891
"Solyc12g088850.1.1",0.0452227376766961
"Solyc10g081520.1.1",1
"Solyc09g011380.2.1",0.561322012624479
"Solyc03g118070.2.1",1
"Solyc03g116100.2.1",0.00342174705447448
"Solyc06g064830.2.1",0.000445451574755775
"Solyc05g054210.2.1",0.00602375778584865
"Solyc11g042930.1.1",1
"Solyc01g103710.2.1",1
"Solyc04g071160.2.1",0.104513190809615
"Solyc10g005580.2.1",0.268802127679817
"Solyc09g010320.2.1",5.60448695707976e-05
"Solyc04g051830.2.1",0.190773398943981
"Solyc07g053470.2.1",0.0208017294703971
"Solyc00g006820.2.1",1
"Solyc02g082080.1.1",0.114152381587568
"Solyc07g066430.2.1",3.55480001374662e-09
"Solyc03g118650.2.1",0.511575688527005
"Solyc06g068060.2.1",0.00503776378454662
"Solyc06g075580.2.1",4.16071229254740e-05
"Solyc12g009220.1.1",1
"Solyc07g063900.2.1",0.000161247408173588
"Solyc04g007820.2.1",3.65527036544144e-05
"Solyc02g092710.2.1",0.331609722871228
"Solyc01g086920.2.1",1
"Solyc08g074590.2.1",0.495444942757217
"Solyc08g006910.2.1",5.55270207555091e-10
"Solyc08g078240.2.1",0.011713127596987
"Solyc01g091370.2.1",0.0138523494102402
"Solyc12g036800.1.1",6.81289793017438e-06
"Solyc04g081130.1.1",1.17436164967155e-11
"Solyc01g100180.2.1",0.0065677818573589
"Solyc01g095620.2.1",3.43853681700463e-08
"Solyc06g007300.1.1",1
"Solyc09g075100.2.1",1
"Solyc07g006950.2.1",0.275936654622702
"Solyc02g087520.2.1",1
"Solyc01g086720.2.1",1
"Solyc11g044270.1.1",0.000195050860147440
"Solyc05g009410.1.1",1
"Solyc11g031950.1.1",0.795262235627886
"Solyc07g055060.2.1",7.6877110998047e-07
"Solyc03g114810.2.1",0.261140940541743
"Solyc07g042730.2.1",0.512690834410907
"Solyc09g065730.2.1",0.000322322303955039
"Solyc04g082470.1.1",0.206195174484157
"Solyc02g069380.2.1",5.96339155641156e-05
"Solyc11g005390.1.1",1
"Solyc01g111860.2.1",0.522842417775623
"Solyc06g008090.2.1",0.633233952526249
"Solyc11g068420.1.1",5.44283942934337e-05
"Solyc08g065950.1.1",0.222942567666828
"Solyc05g055830.2.1",0.499737938072943
"Solyc11g008450.1.1",1
"Solyc03g032120.2.1",1
"Solyc06g009360.1.1",1
"Solyc07g043060.1.1",2.81606407082366e-09
"Solyc05g010340.2.1",1
"Solyc04g078340.2.1",1.75973616911815e-10
"Solyc01g091950.2.1",1.56973704521426e-06
"Solyc11g010240.1.1",0.0115965950622117
"Solyc07g049590.2.1",0.0151044190432500
"Solyc04g074700.2.1",0.312772841199449
"Solyc11g010470.1.1",0.322915903055340
"Solyc03g118970.2.1",5.3003343711379e-06
"Solyc03g120980.2.1",2.88356196510396e-14
"Solyc10g008680.1.1",1.98498048305283e-07
"Solyc01g111130.2.1",0.999581650211504
"Solyc12g042960.1.1",0.00897740395126578
"Solyc06g016790.1.1",0.0346520026439737
"Solyc02g086170.2.1",1.04723430113612e-06
"Solyc10g012160.2.1",0.608569651541918
"Solyc03g111850.2.1",0.113984460688239
"Solyc01g097360.2.1",0.00878192536878367
"Solyc01g014230.2.1",0.0205637868242376
"Solyc10g047200.1.1",1
"Solyc06g053590.2.1",1
"Solyc06g030580.2.1",0.0487316673175866
"Solyc11g007700.1.1",0.337509275159847
"Solyc05g026070.1.1",1
"Solyc10g006370.2.1",0.273038117158718
"Solyc07g025160.2.1",3.91072987393467e-05
"Solyc07g018180.1.1",3.0463599638277e-06
"Solyc05g012570.2.1",1
"Solyc08g042050.2.1",3.20907071989593e-06
"Solyc06g066710.1.1",1
"Solyc12g005190.1.1",0.00671143057766327
"Solyc01g104010.2.1",0.242369598097136
"Solyc01g094010.2.1",1
"Solyc02g014500.1.1",1
"Solyc04g076820.1.1",8.14651008927193e-05
"Solyc03g119540.2.1",0.000425160329397291
"Solyc04g054700.2.1",1
"Solyc03g034060.2.1",0.082052517390706
"Solyc01g080580.2.1",0.000667827919611195
"Solyc04g077470.2.1",0.00965361417324841
"Solyc08g008370.2.1",0.0257207300615416
"Solyc08g007640.1.1",0.000790382197625084
"Solyc12g087800.1.1",0.0554399283654211
"Solyc03g096940.2.1",1
"Solyc03g006380.2.1",0.298170184272217
"Solyc02g092810.2.1",0.573027354512698
"Solyc02g067100.2.1",1
"Solyc03g059250.2.1",1
"Solyc10g079450.1.1",0.111925367228015
"Solyc12g044910.1.1",0.0091089191460231
"Solyc08g061320.2.1",0.0470797894841185
"Solyc04g072160.2.1",0.0543662926740138
"Solyc04g008430.1.1",0.0099001865622103
"Solyc01g089870.2.1",0.0940724070962756
"Solyc10g006240.2.1",0.287724531791097
"Solyc06g071120.2.1",0.00205751325841325
"Solyc08g066670.2.1",0.0878578598810652
"Solyc06g071880.2.1",8.6336792429332e-07
"Solyc01g090560.2.1",7.72916230211722e-05
"Solyc09g008620.1.1",0.229549033238470
"Solyc09g091930.2.1",0.00409685598542721
"Solyc04g014400.2.1",2.76867331066466e-08
"Solyc02g067470.2.1",1.82791242623109e-07
"Solyc11g069610.1.1",1
"Solyc11g033260.1.1",0.350503660367701
"Solyc10g078390.1.1",1
"Solyc10g080190.1.1",0.0395520941403977
"Solyc11g006590.1.1",1
"Solyc11g065110.1.1",1.76960495100594e-06
"Solyc03g113620.2.1",1.49156885754634e-09
"Solyc06g073640.2.1",1
"Solyc01g106680.2.1",1
"Solyc01g007740.2.1",0.00115927316678489
"Solyc10g085310.1.1",0.56692138662471
"Solyc04g080270.2.1",1
"Solyc05g006090.2.1",0.668405802623041
"Solyc08g067540.1.1",8.57253097559484e-07
"Solyc04g075000.1.1",1
"Solyc10g085340.1.1",1
"Solyc10g008390.2.1",0.413254435824838
"Solyc03g120160.1.1",0.421069491859027
"Solyc05g054790.1.1",0.141805519855860
"Solyc07g045100.1.1",0.00396248027521921
"Solyc09g011340.2.1",0.000642449243577345
"Solyc10g019040.1.1",1
"Solyc01g108140.2.1",1
"Solyc08g005420.2.1",0.0159172726195652
"Solyc05g051970.2.1",1
"Solyc01g009260.1.1",0.146711934237562
"Solyc07g052220.1.1",1
"Solyc05g013570.2.1",0.00137563258452033
"Solyc06g033980.2.1",2.09703531186594e-05
"Solyc11g006830.1.1",1
"Solyc12g100310.1.1",1
"Solyc03g063940.1.1",1
"Solyc01g008180.2.1",0.0980822982471103
"Solyc06g082010.2.1",0.336168338968772
"Solyc11g005720.1.1",1
"Solyc04g011580.2.1",0.000132028292465274
"Solyc12g056760.1.1",0.00198963366914094
"Solyc02g089870.1.1",0.00117544392577045
"Solyc03g112070.2.1",3.01517713172823e-05
"Solyc11g042940.1.1",0.0117806348886230
"Solyc01g097350.2.1",0.0778845142993078
"Solyc08g062180.1.1",0.00588397238832867
"Solyc04g078780.2.1",0.201739734236793
"Solyc09g018650.2.1",0.00171313481998221
"Solyc10g082020.1.1",0.0768222390493063
"Solyc11g039840.1.1",0.061088438749385
"Solyc02g065770.2.1",1.89999101281635e-06
"Solyc01g106780.2.1",1
"Solyc01g109800.2.1",0.200737944520688
"Solyc10g049710.1.1",0.410121528422389
"Solyc04g077240.2.1",0.000121040910923905
"Solyc08g007690.1.1",9.5117406152144e-08
"Solyc11g065150.1.1",1
"Solyc11g011660.1.1",0.00491332227152999
"Solyc07g006650.2.1",0.840536948851418
"Solyc10g080680.1.1",0.00158280048111092
"Solyc04g079860.1.1",0.301387633941268
"Solyc10g044630.1.1",1
"Solyc10g037950.1.1",0.769211110516
"Solyc09g082170.2.1",0.000659090392395917
"Solyc01g111710.2.1",0.00261097443310829
"Solyc10g080950.1.1",0.00149183126691682
"Solyc08g082850.2.1",0.114935602412183
"Solyc03g083000.2.1",2.83219711292468e-07
"Solyc09g008780.2.1",0.891946900575902
"Solyc06g036250.1.1",1.35168335310916e-14
"Solyc02g081610.1.1",0.0359595612946814
"Solyc01g086990.2.1",0.000101628392254883
"Solyc12g044250.1.1",0.000941312719551685
